"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
417.241033;417.241497;"[(8R,9S,13S,14S,17S)-17-Hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl] 3-cyclopentylpropanoate";[M+Na-H2];C26H36O3;3.84875e-4;0.922429;417.241112;1 out of 5
417.241033;417.241497;"CPA(18:1(11Z)/0:0)";[M-H];C21H39O6P;3.48402e-4;0.835015;417.241148;1 out of 5
417.241033;417.241497;"CPA(18:1(9Z)/0:0)";[M-H];C21H39O6P;3.48402e-4;0.835015;417.241148;1 out of 5
417.241033;417.241497;DHAP(18:0);[M-H2O-H];C21H41O7P;3.47716e-4;0.833371;417.241149;1 out of 5
417.241033;417.241497;(2-Hydroxy-3-phosphonooxypropyl) octadec-9-enoate;[M-H2O-H];C21H41O7P;3.47716e-4;0.833371;417.241149;1 out of 5
417.241033;417.241497;"LysoPA(0:0/18:1(9Z))";[M-H2O-H];C21H41O7P;3.47236e-4;0.832220;417.241150;1 out of 5
417.241033;417.241497;"LysoPA(18:1(9Z)/0:0)";[M-H2O-H];C21H41O7P;3.47236e-4;0.832220;417.241150;1 out of 5
417.241033;417.241497;"MG(0:0/20:3(11Z,14Z,17Z)/0:0)";[M+K-H2];C23H40O4;2.32126e-4;0.556336;417.241265;1 out of 5
417.241033;417.241497;"MG(0:0/20:3(5Z,8Z,11Z)/0:0)";[M+K-H2];C23H40O4;2.32126e-4;0.556336;417.241265;1 out of 5
417.241033;417.241497;"MG(0:0/20:3(8Z,11Z,14Z)/0:0)";[M+K-H2];C23H40O4;2.32126e-4;0.556336;417.241265;1 out of 5
417.241033;417.241497;"MG(20:3(11Z,14Z,17Z)/0:0/0:0)";[M+K-H2];C23H40O4;2.32126e-4;0.556336;417.241265;1 out of 5
417.241033;417.241497;"MG(20:3(5Z,8Z,11Z)/0:0/0:0)";[M+K-H2];C23H40O4;2.32126e-4;0.556336;417.241265;1 out of 5
417.241033;417.241497;"MG(20:3(8Z,11Z,14Z)/0:0/0:0)";[M+K-H2];C23H40O4;2.32126e-4;0.556336;417.241265;1 out of 5
417.241033;417.241497;Isopersin;[M+K-H2];C23H40O4;2.32126e-4;0.556336;417.241265;1 out of 5
417.241033;417.241497;"2-Hydroxy-4-oxo-5,12-heneicosadien-1-yl acetate";[M+K-H2];C23H40O4;2.32126e-4;0.556336;417.241265;1 out of 5
417.241033;417.241497;Persin;[M+K-H2];C23H40O4;2.32126e-4;0.556336;417.241265;1 out of 5
417.241033;417.241497;[12]-Gingerdiol;[M+K-H2];C23H40O4;2.32126e-4;0.556336;417.241265;1 out of 5
417.241033;417.241497;"(11R,16S)-misoprostol";[M+Cl];C22H38O5;1.71570e-4;0.411202;417.241325;1 out of 5
417.241033;417.241497;"13,14-Dihydro-15-keto-20-ethyl prostaglandin f2alpha";[M+Cl];C22H38O5;1.71570e-4;0.411202;417.241325;1 out of 5
417.241033;417.241497;"16,16-Dimethyl Prostaglandin E1";[M+Cl];C22H38O5;1.71570e-4;0.411202;417.241325;1 out of 5
417.241033;417.241497;Carboprost methyl;[M+Cl];C22H38O5;1.71570e-4;0.411202;417.241325;1 out of 5
417.241033;417.241497;Misoprostol;[M+Cl];C22H38O5;1.71568e-4;0.411197;417.241325;1 out of 5
419.033628;419.034099;"5-(5-(2,6-Dichloro-4-(4,5-Dihydro-2-Oxazoly)phenoxy)pentyl)-3-Methyl Isoxazole";[M+K-H2];C18H20Cl2N2O3;3.96188e-4;0.945479;419.033703;1 out of 5
419.057256;419.057726;Enterodiol sulfate;[M+K-H2];C18H22O7S;4.97262e-4;1.186622;419.057229;1 out of 5
419.057256;419.057726;Ilaprazole sulfone;[M+K-H2];C19H18N4O3S;-8.40146e-4;-2.004841;419.058567;1 out of 5
419.256731;419.257203;Benzotest;[M+Na-H2];C26H38O3;4.40518e-4;1.050711;419.256762;1 out of 5
419.256731;419.257203;"CPA(18:0/0:0)";[M-H];C21H41O6P;4.04046e-4;0.963719;419.256799;2 out of 5
419.256731;419.257203;"LysoPA(0:0/18:0)";[M-H2O-H];C21H43O7P;4.03360e-4;0.962083;419.256799;3 out of 5
419.256731;419.257203;"LysoPA(18:0/0:0)";[M-H2O-H];C21H43O7P;4.02879e-4;0.960936;419.256800;3 out of 5
419.256731;419.257203;"MG(0:0/20:2(11Z,14Z)/0:0)";[M+K-H2];C23H42O4;2.87770e-4;0.686380;419.256915;1 out of 5
419.256731;419.257203;"MG(20:2(11Z,14Z)/0:0/0:0)";[M+K-H2];C23H42O4;2.87770e-4;0.686380;419.256915;1 out of 5
419.256731;419.257203;Persenone B;[M+K-H2];C23H42O4;2.87770e-4;0.686380;419.256915;1 out of 5
419.256731;419.257203;Lepidiumterpenyl ester;[M+K-H2];C23H42O4;2.87770e-4;0.686380;419.256915;1 out of 5
420.009284;420.009758;Glucocheirolin;[M-H2O-H];C11H21NO11S3;-7.34587e-5;-0.174898;420.009832;1 out of 5
420.114653;420.115128;Difloxacin;[M+Na-H2];C21H19F2N3O3;1.01318e-3;2.411687;420.114115;1 out of 5
420.114653;420.115128;Quetiapine;[M+K-H2];C21H25N3O2S;-2.24755e-4;-0.534985;420.115353;1 out of 5
421.054230;421.054709;Theaflagallin;[M+Na-H2];C20H16O9;6.09792e-4;1.448251;421.054099;1 out of 5
421.054230;421.054709;"3,4,5-trihydroxy-6-{2-hydroxy-5-[(5-oxooxolan-2-yl)methyl]phenoxy}oxane-2-carboxylic acid";[M+K-H2];C17H20O10;4.57058e-4;1.085509;421.054252;1 out of 5
421.054230;421.054709;Eleutheroside B1;[M+K-H2];C17H20O10;4.57042e-4;1.085471;421.054252;1 out of 5
421.054230;421.054709;Tomenin;[M+K-H2];C17H20O10;4.57042e-4;1.085471;421.054252;1 out of 5
421.054230;421.054709;"5-(3',5'-Dihydroxyphenyl)-gamma-valerolactone 3-O-glucuronide";[M+K-H2];C17H20O10;4.57042e-4;1.085471;421.054252;1 out of 5
421.054230;421.054709;"5-(3',4'-Dihydroxyphenyl)-gamma-valerolactone-4'-O-glucuronide";[M+K-H2];C17H20O10;4.57042e-4;1.085471;421.054252;1 out of 5
421.054230;421.054709;2-trans-O-Feruloylglucaric acid;[M+Cl];C16H18O11;3.96484e-4;0.941646;421.054312;2 out of 5
422.057589;422.058072;Gluconasturtiin;[M-H];C15H21NO9S2;-4.23871e-4;-1.004294;422.058496;1 out of 5
422.125852;422.126335;Alpelisib;[M-H2O-H];C19H22F3N5O2S;-4.53979e-4;-1.075456;422.126789;1 out of 5
422.125852;422.126335;Ipsapirone;[M+Na-H2];C19H23N5O3S;-4.92496e-4;-1.166701;422.126828;1 out of 5
423.119418;423.119905;n6-[2-(4-Aminophenyl)ethyl]adenosine;[M+K-H2];C18H22N6O4;1.04713e-3;2.474792;423.118858;1 out of 5
423.119418;423.119905;"5'-(1,4-Dihydro-1-methyl-3-pyridinylcarbonyl)-3'-azido-3'-deoxythymidine";[M+Cl];C17H20N6O5;9.86575e-4;2.331673;423.118919;1 out of 5
423.119418;423.119905;Rondomycin;[M-H2O-H];C22H22N2O8;1.30667e-4;0.308818;423.119775;1 out of 5
423.119418;423.119905;Methacycline;[M-H2O-H];C22H22N2O8;1.30653e-4;0.308785;423.119775;1 out of 5
423.135019;423.135506;Delmadinone acetate;[M+Na-H2];C23H27ClO4;1.05242e-3;2.487204;423.134454;1 out of 5
423.138002;423.138489;Eprosartan;[M-H];C23H24N2O4S;8.81560e-5;0.208339;423.138401;2 out of 5
423.138002;423.138489;4-[[2-Butyl-5-(2-carboxy-3-thiophen-2-ylprop-1-enyl)-1-imidazolyl]methyl]benzoic acid;[M-H];C23H24N2O4S;8.76770e-5;0.207207;423.138401;2 out of 5
424.122052;424.122543;Fasidotril;[M-H2O-H];C23H25NO6S;1.25504e-4;0.295916;424.122418;1 out of 5
424.122052;424.122543;Perphenazine;[M+Na-H2];C21H26ClN3OS;-6.34659e-4;-1.496401;424.123178;1 out of 5
425.125512;425.126007;purvalanol A;[M+K-H2];C19H25ClN6O;-4.35213e-4;-1.023725;425.126442;1 out of 5
425.135239;425.135734;15-(4-Iodophenyl)pentadecanoic acid;[M-H2O-H];C21H33IO2;1.04530e-3;2.458752;425.134689;1 out of 5
425.135239;425.135734;Epitetracycline;[M-H2O-H];C22H24N2O8;3.09560e-4;0.728144;425.135425;1 out of 5
425.135239;425.135734;Doxycycline;[M-H2O-H];C22H24N2O8;3.09547e-4;0.728113;425.135425;1 out of 5
425.135239;425.135734;Tetracycline;[M-H2O-H];C22H24N2O8;3.09547e-4;0.728113;425.135425;1 out of 5
425.135239;425.135734;Flibanserin;[M+Cl];C20H21F3N4O;-4.12628e-4;-0.970579;425.136147;1 out of 5
425.144967;425.145462;Serylvalylglycylglutamic acid;[M+Cl];C15H26N4O8;9.97346e-4;2.345900;425.144465;1 out of 5
425.144967;425.145462;"6-(2-Carboxyethyl)-7-hydroxy-2,2-dimethyl-4-chromanone glucoside";[M-H];C20H26O10;1.42107e-4;0.334256;425.145320;2 out of 5
426.022065;426.022564;"Adenosine 3',5'-diphosphate";[M-H];C10H15N5O10P2;4.25881e-4;0.999670;426.022138;3 out of 5
426.022065;426.022564;dGDP;[M-H];C10H15N5O10P2;4.25881e-4;0.999670;426.022138;3 out of 5
426.022065;426.022564;ADP;[M-H];C10H15N5O10P2;4.25881e-4;0.999670;426.022138;3 out of 5
426.022065;426.022564;"[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate";[M-H];C10H15N5O10P2;4.25881e-4;0.999670;426.022138;3 out of 5
426.022065;426.022564;Zidovudine diphosphate;[M-H];C10H15N5O10P2;4.24931e-4;0.997440;426.022139;3 out of 5
426.022065;426.022564;Acetyl adenylate;[M+K-H2];C12H16N5O8P;3.09605e-4;0.726735;426.022254;1 out of 5
426.138618;426.139117;N-desmethyltoremifene;[M+Cl];C25H26ClNO;-5.76248e-4;-1.352251;426.139693;1 out of 5
430.027599;430.028114;Bensultap;[M-H];C17H21NO4S4;4.80358e-5;0.111704;430.028066;1 out of 5
435.096206;435.096742;N-Feruloylglycyl-L-phenylalanine;[M+K-H2];C21H22N2O6;3.50929e-4;0.806555;435.096391;1 out of 5
436.283275;436.283816;N-Eicosapentaenoyl Isoleucine;[M+Na-H2];C26H41NO3;5.04530e-4;1.156428;436.283311;1 out of 5
436.283275;436.283816;N-Eicosapentaenoyl Leucine;[M+Na-H2];C26H41NO3;5.04530e-4;1.156428;436.283311;1 out of 5
436.283275;436.283816;"LysoPE(P-16:0/0:0)";[M-H];C21H44NO6P;4.68057e-4;1.072828;436.283348;1 out of 5
436.283275;436.283816;L-Palmitoylcarnitine;[M+K-H2];C23H45NO4;3.51781e-4;0.806313;436.283464;1 out of 5
436.283275;436.283816;O-Palmitoylcarnitine;[M+K-H2];C23H45NO4;3.51781e-4;0.806313;436.283464;1 out of 5
436.283275;436.283816;12-Methylpentadecanoylcarnitine;[M+K-H2];C23H45NO4;3.51781e-4;0.806313;436.283464;1 out of 5
