"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
800.543371;800.543371;"PS(17:1(9Z)/20:2(11Z,14Z))";[M+H];C43H78NO10P;-2.38926e-4;-0.298455;800.543610;1 out of 4
800.543371;800.543371;"PS(17:2(9Z,12Z)/20:1(11Z))";[M+H];C43H78NO10P;-2.38926e-4;-0.298455;800.543610;1 out of 4
800.543371;800.543371;"PS(18:2(9Z,12Z)/19:1(9Z))";[M+H];C43H78NO10P;-2.38926e-4;-0.298455;800.543610;1 out of 4
800.543371;800.543371;"PS(18:3(6Z,9Z,12Z)/19:0)";[M+H];C43H78NO10P;-2.38926e-4;-0.298455;800.543610;1 out of 4
800.543371;800.543371;"PS(18:3(9Z,12Z,15Z)/19:0)";[M+H];C43H78NO10P;-2.38926e-4;-0.298455;800.543610;1 out of 4
800.543371;800.543371;"PS(19:0/18:3(6Z,9Z,12Z))";[M+H];C43H78NO10P;-2.38926e-4;-0.298455;800.543610;1 out of 4
800.543371;800.543371;"PS(19:0/18:3(9Z,12Z,15Z))";[M+H];C43H78NO10P;-2.38926e-4;-0.298455;800.543610;1 out of 4
800.543371;800.543371;"PS(19:1(9Z)/18:2(9Z,12Z))";[M+H];C43H78NO10P;-2.38926e-4;-0.298455;800.543610;1 out of 4
800.543371;800.543371;"PS(20:1(11Z)/17:2(9Z,12Z))";[M+H];C43H78NO10P;-2.38926e-4;-0.298455;800.543610;1 out of 4
800.543371;800.543371;"PS(20:2(11Z,14Z)/17:1(9Z))";[M+H];C43H78NO10P;-2.38926e-4;-0.298455;800.543610;1 out of 4
800.543371;800.543371;"PS(20:3(8Z,11Z,14Z)/17:0)";[M+H];C43H78NO10P;-2.38926e-4;-0.298455;800.543610;1 out of 4
800.543371;800.543371;"PS(22:2(13Z,16Z)/15:1(9Z))";[M+H];C43H78NO10P;-2.38926e-4;-0.298455;800.543610;1 out of 4
802.683681;802.683681;"Cer(d18:2/23:0)";[M+NORHARMANE+H];C41H79NO3;7.60538e-4;0.947494;802.682920;1 out of 4
802.683681;802.683681;"Cer(d26:2/15:0)";[M+NORHARMANE+H];C41H79NO3;7.60538e-4;0.947494;802.682920;1 out of 4
803.535026;803.535026;"PA(12:0/19:0)";[M+NORHARMANE+H];C34H67O8P;7.45041e-4;0.927205;803.534281;1 out of 4
803.535026;803.535026;"PA(13:0/18:0)";[M+NORHARMANE+H];C34H67O8P;7.45041e-4;0.927205;803.534281;1 out of 4
803.535026;803.535026;"PA(14:0/17:0)";[M+NORHARMANE+H];C34H67O8P;7.45041e-4;0.927205;803.534281;1 out of 4
803.535026;803.535026;"PA(17:0/14:0)";[M+NORHARMANE+H];C34H67O8P;7.45041e-4;0.927205;803.534281;1 out of 4
803.535026;803.535026;"PA(18:0/13:0)";[M+NORHARMANE+H];C34H67O8P;7.45041e-4;0.927205;803.534281;1 out of 4
803.535026;803.535026;"PA(19:0/12:0)";[M+NORHARMANE+H];C34H67O8P;7.45041e-4;0.927205;803.534281;1 out of 4
803.535026;803.535026;"PA(16:0/15:0)";[M+NORHARMANE+H];C34H67O8P;7.45041e-4;0.927205;803.534281;1 out of 4
803.535026;803.535026;"PA(15:0/16:0)";[M+NORHARMANE+H];C34H67O8P;7.45041e-4;0.927205;803.534281;1 out of 4
803.535026;803.535026;"PA(P-20:0/22:4(7Z,10Z,13Z,16Z))";[M+K];C45H81O7P;-1.22787e-4;-0.152809;803.535149;1 out of 4
805.550399;805.550399;"PA(O-20:0/22:4(7Z,10Z,13Z,16Z))";[M+K];C45H83O7P;-3.99842e-4;-0.496358;805.550799;1 out of 4
807.552296;807.552296;Squamocin-P;[M+NORHARMANE+H];C37H66O8;-3.98160e-4;-0.493045;807.552694;2 out of 4
