"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
130.050325;130.050325;"(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid";[M+H];C5H7NO3;4.55911e-4;3.505663;130.049869;1 out of 4
130.050325;130.050325;"3-Hydroxy-1-methylpyrrolidine-2,5-dione";[M+H];C5H7NO3;4.55911e-4;3.505663;130.049869;1 out of 4
130.050325;130.050325;4-Oxo-L-proline;[M+H];C5H7NO3;4.55911e-4;3.505663;130.049869;1 out of 4
130.050325;130.050325;"1-Methylpyrrole-2,3,5-triol";[M+H];C5H7NO3;4.55911e-4;3.505663;130.049869;1 out of 4
130.050325;130.050325;(2S)-6-Oxa-1-azabicyclo[3.1.0]hexane-2-carboxylic acid;[M+H];C5H7NO3;4.55911e-4;3.505663;130.049869;1 out of 4
130.050325;130.050325;Pyroglutamic acid;[M+H];C5H7NO3;4.55905e-4;3.505617;130.049869;1 out of 4
130.050325;130.050325;Pyrroline hydroxycarboxylic acid;[M+H];C5H7NO3;4.55905e-4;3.505617;130.049869;1 out of 4
130.050325;130.050325;N-Acryloylglycine;[M+H];C5H7NO3;4.55905e-4;3.505617;130.049869;1 out of 4
130.050325;130.050325;1-Pyrroline-4-hydroxy-2-carboxylate;[M+H];C5H7NO3;4.55905e-4;3.505617;130.049869;1 out of 4
130.050325;130.050325;dimethadione;[M+H];C5H7NO3;4.55905e-4;3.505617;130.049869;1 out of 4
130.050325;130.050325;pyrrolidone carboxylic acid;[M+H];C5H7NO3;4.55905e-4;3.505617;130.049869;1 out of 4
136.015940;136.015940;2-Hydroxypent-3-enenitrile;[M+K];C5H7NO;1.91510e-5;0.140800;136.015921;1 out of 4
136.015940;136.015940;4-Oxopentanenitrile;[M+K];C5H7NO;1.91510e-5;0.140800;136.015921;1 out of 4
136.015940;136.015940;Cyanohydroxybutene;[M+K];C5H7NO;1.91510e-5;0.140800;136.015921;1 out of 4
136.015940;136.015940;1-Cyano-2-hydroxy-3-butene;[M+K];C5H7NO;1.91490e-5;0.140785;136.015921;1 out of 4
136.015940;136.015940;"2,4-Dimethyloxazole";[M+K];C5H7NO;1.91490e-5;0.140785;136.015921;1 out of 4
136.015940;136.015940;"2,5-Dimethyloxazole";[M+K];C5H7NO;1.91490e-5;0.140785;136.015921;1 out of 4
136.015940;136.015940;"4,5-Dimethyloxazole";[M+K];C5H7NO;1.91490e-5;0.140785;136.015921;1 out of 4
136.062199;136.062199;"1H-Pyrazolo[3,4-d]pyrimidin-4-amine";[M+H];C5H5N5;4.27819e-4;3.144300;136.061771;1 out of 4
136.062199;136.062199;9h-Purin-9-amine;[M+H];C5H5N5;4.27819e-4;3.144300;136.061771;1 out of 4
136.062199;136.062199;Adenine;[M+H];C5H5N5;4.27815e-4;3.144270;136.061771;1 out of 4
136.062199;136.062199;2-Aminopurine;[M+H];C5H5N5;4.27815e-4;3.144270;136.061771;1 out of 4
137.023740;137.023740;"Furo[3,2-c]pyran-4-one";[M+H];C7H4O3;4.20011e-4;3.065252;137.023320;4 out of 4
137.023740;137.023740;Prolyl;[M+K];C5H8NO;-5.88200e-6;-0.042927;137.023746;1 out of 4
137.046232;137.046232;2-Hydroxypurine;[M+H];C5H4N4O;4.45235e-4;3.248805;137.045787;1 out of 4
137.046232;137.046232;9H-Purine-9-ol;[M+H];C5H4N4O;4.45235e-4;3.248805;137.045787;1 out of 4
137.046232;137.046232;Hypoxanthine;[M+H];C5H4N4O;4.45230e-4;3.248768;137.045787;1 out of 4
137.046232;137.046232;Allopurinol;[M+H];C5H4N4O;4.45230e-4;3.248768;137.045787;1 out of 4
137.071396;137.071396;4-Aminobenzamide;[M+H];C7H8N2O;4.57114e-4;3.334872;137.070939;1 out of 4
137.071396;137.071396;4-Hydroxy-benzamidine;[M+H];C7H8N2O;4.57114e-4;3.334872;137.070939;1 out of 4
137.071396;137.071396;5-Methylnicotinamide;[M+H];C7H8N2O;4.57114e-4;3.334872;137.070939;1 out of 4
137.071396;137.071396;Benzamidoxime;[M+H];C7H8N2O;4.57114e-4;3.334872;137.070939;1 out of 4
137.071396;137.071396;Benzohydrazide;[M+H];C7H8N2O;4.57114e-4;3.334872;137.070939;1 out of 4
137.071396;137.071396;N-Methylnicotinamide;[M+H];C7H8N2O;4.57112e-4;3.334857;137.070939;1 out of 4
137.071396;137.071396;2-Acetyl-3-methylpyrazine;[M+H];C7H8N2O;4.57112e-4;3.334857;137.070939;1 out of 4
137.071396;137.071396;2-Aminobenzamide;[M+H];C7H8N2O;4.57112e-4;3.334857;137.070939;1 out of 4
137.071396;137.071396;4-Acetyl-2-methylpyrimidine;[M+H];C7H8N2O;4.57112e-4;3.334857;137.070939;1 out of 4
137.071396;137.071396;2-Methylnicotinamide;[M+H];C7H8N2O;4.57112e-4;3.334857;137.070939;1 out of 4
