"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
306.080803;306.080803;hydroxydeoxyguanosine;[M+Na];C10H13N5O5;-8.55390e-5;-0.279465;306.080889;3 out of 4
306.080803;306.080803;"1-[(2R,5R)-4-Azidooxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione";[M+Na];C10H13N5O5;-8.55390e-5;-0.279465;306.080889;3 out of 4
306.080803;306.080803;"2-Amino-9-[(2R,4S,5R)-5-(hydroperoxymethyl)-4-hydroxyoxolan-2-yl]-1H-purin-6-one";[M+Na];C10H13N5O5;-8.55390e-5;-0.279465;306.080889;3 out of 4
306.080803;306.080803;Guanosine;[M+Na];C10H13N5O5;-8.55510e-5;-0.279505;306.080889;3 out of 4
306.080803;306.080803;8-Hydroxy-deoxyguanosine;[M+Na];C10H13N5O5;-8.55510e-5;-0.279505;306.080889;3 out of 4
306.080803;306.080803;9-beta-d-Arabinofuranosylguanine;[M+Na];C10H13N5O5;-8.55510e-5;-0.279505;306.080889;3 out of 4
306.080803;306.080803;Sertraline;[M+H];C17H17Cl2N;-2.77963e-4;-0.908135;306.081081;1 out of 4
306.080803;306.080803;Sealdin;[M+H];C17H17Cl2N;-2.78000e-4;-0.908256;306.081081;1 out of 4
307.043705;307.043705;Ara-HX;[M+K];C10H12N4O5;-2.21502e-4;-0.721402;307.043927;3 out of 4
307.043705;307.043705;Formycin b;[M+K];C10H12N4O5;-2.21502e-4;-0.721402;307.043927;3 out of 4
307.043705;307.043705;Inosine;[M+K];C10H12N4O5;-2.21514e-4;-0.721441;307.043927;3 out of 4
307.043705;307.043705;Allopurinol riboside;[M+K];C10H12N4O5;-2.21514e-4;-0.721441;307.043927;3 out of 4
307.043705;307.043705;Arabinosylhypoxanthine;[M+K];C10H12N4O5;-2.21514e-4;-0.721441;307.043927;3 out of 4
307.107574;307.107574;2-Hydroxy-1-naphthaldehyde salicyloylhydrazone;[M+H];C18H14N2O3;-1.44319e-4;-0.469930;307.107718;1 out of 4
307.107574;307.107574;Quinocetone;[M+H];C18H14N2O3;-1.44319e-4;-0.469930;307.107718;1 out of 4
308.090989;308.090989;Endralazine;[M+K];C14H15N5O;1.71877e-4;0.557878;308.090817;1 out of 4
308.090989;308.090989;Glutathione;[M+H];C10H17N3O6S;-9.29810e-5;-0.301797;308.091082;2 out of 4
308.090989;308.090989;Glutathionate(1-);[M+H];C10H17N3O6S;-9.34530e-5;-0.303329;308.091082;2 out of 4
309.036776;309.036776;Protoapigenone;[M+Na];C15H10O6;-1.82042e-4;-0.589062;309.036958;3 out of 4
309.036776;309.036776;Luteolin;[M+Na];C15H10O6;-1.82052e-4;-0.589095;309.036958;3 out of 4
