"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
140.068638;140.068638;4R-aminopentanoic acid;[M+Na];C5H11NO2;4.39408e-4;3.137100;140.068199;3 out of 4
140.068638;140.068638;4S-aminopentanoic acid;[M+Na];C5H11NO2;4.39408e-4;3.137100;140.068199;3 out of 4
140.068638;140.068638;4-amino-pentanoic acid;[M+Na];C5H11NO2;4.39408e-4;3.137100;140.068199;3 out of 4
140.068638;140.068638;5-amino-pentanoic acid;[M+Na];C5H11NO2;4.39408e-4;3.137100;140.068199;3 out of 4
140.068638;140.068638;2S-amino-pentanoic acid;[M+Na];C5H11NO2;4.39408e-4;3.137100;140.068199;3 out of 4
140.068638;140.068638;2-Amino-3-methylbutanoic acid;[M+Na];C5H11NO2;4.39408e-4;3.137100;140.068199;3 out of 4
142.026821;142.026821;2S-amino-butanoic acid;[M+K];C4H9NO2;3.35472e-4;2.362038;142.026486;1 out of 4
142.026821;142.026821;4-amino-butanoic acid;[M+K];C4H9NO2;3.35472e-4;2.362038;142.026486;1 out of 4
142.026821;142.026821;2R-amino-butanoic acid;[M+K];C4H9NO2;3.35472e-4;2.362038;142.026486;1 out of 4
142.026821;142.026821;(R)-b-amino-isobutyric acid;[M+K];C4H9NO2;3.35472e-4;2.362038;142.026486;1 out of 4
142.026821;142.026821;(S)-b-amino-isobutyric acid;[M+K];C4H9NO2;3.35472e-4;2.362038;142.026486;1 out of 4
142.026821;142.026821;2-amino-isobutyric acid;[M+K];C4H9NO2;3.35472e-4;2.362038;142.026486;1 out of 4
142.026821;142.026821;3-amino-isobutanoic acid;[M+K];C4H9NO2;3.35472e-4;2.362038;142.026486;1 out of 4
146.117963;146.117963;2R-aminoheptanoic acid;[M+H];C7H15NO2;4.08280e-4;2.794189;146.117555;2 out of 4
146.117963;146.117963;2S-aminoheptanoic acid;[M+H];C7H15NO2;4.08280e-4;2.794189;146.117555;2 out of 4
146.117963;146.117963;2-amino-heptanoic acid;[M+H];C7H15NO2;4.08280e-4;2.794189;146.117555;2 out of 4
156.042121;156.042121;4R-aminopentanoic acid;[M+K];C5H11NO2;-1.45920e-5;-0.093513;156.042136;2 out of 4
156.042121;156.042121;4S-aminopentanoic acid;[M+K];C5H11NO2;-1.45920e-5;-0.093513;156.042136;2 out of 4
156.042121;156.042121;4-amino-pentanoic acid;[M+K];C5H11NO2;-1.45920e-5;-0.093513;156.042136;2 out of 4
156.042121;156.042121;5-amino-pentanoic acid;[M+K];C5H11NO2;-1.45920e-5;-0.093513;156.042136;2 out of 4
156.042121;156.042121;2S-amino-pentanoic acid;[M+K];C5H11NO2;-1.45920e-5;-0.093513;156.042136;2 out of 4
156.042121;156.042121;2-Amino-3-methylbutanoic acid;[M+K];C5H11NO2;-1.45920e-5;-0.093513;156.042136;2 out of 4
156.042562;156.042562;4R-aminopentanoic acid;[M+K];C5H11NO2;4.26408e-4;2.732647;156.042136;2 out of 4
156.042562;156.042562;4S-aminopentanoic acid;[M+K];C5H11NO2;4.26408e-4;2.732647;156.042136;2 out of 4
156.042562;156.042562;4-amino-pentanoic acid;[M+K];C5H11NO2;4.26408e-4;2.732647;156.042136;2 out of 4
156.042562;156.042562;5-amino-pentanoic acid;[M+K];C5H11NO2;4.26408e-4;2.732647;156.042136;2 out of 4
156.042562;156.042562;2S-amino-pentanoic acid;[M+K];C5H11NO2;4.26408e-4;2.732647;156.042136;2 out of 4
156.042562;156.042562;2-Amino-3-methylbutanoic acid;[M+K];C5H11NO2;4.26408e-4;2.732647;156.042136;2 out of 4
159.005636;159.005636;"3S,4-dihydroxy-butyric acid";[M+K];C4H8O4;2.20264e-4;1.385261;159.005416;1 out of 4
159.005636;159.005636;"2,4-dihydroxy-butanoic acid";[M+K];C4H8O4;2.20264e-4;1.385261;159.005416;1 out of 4
159.005636;159.005636;4-deoxy-erythronic acid;[M+K];C4H8O4;2.20264e-4;1.385261;159.005416;1 out of 4
159.005636;159.005636;"a,b-dihydroxy-isobutyric acid";[M+K];C4H8O4;2.20264e-4;1.385261;159.005416;1 out of 4
159.005636;159.005636;"(S)-3,4-Dihydroxybutyric acid";[M+K];C4H8O4;2.20264e-4;1.385261;159.005416;1 out of 4
160.133581;160.133581;3-amino-octanoic acid;[M+H];C8H17NO2;3.76216e-4;2.349394;160.133205;1 out of 4
160.133581;160.133581;DL-2-amino-octanoic acid;[M+H];C8H17NO2;3.76216e-4;2.349394;160.133205;1 out of 4
160.133581;160.133581;8-aminocaprylic acid;[M+H];C8H17NO2;3.76216e-4;2.349394;160.133205;1 out of 4
160.920086;160.920086;2-bromoacetic acid;[M+Na];C2H3BrO2;-7.75436e-4;-4.818741;160.920861;1 out of 4
184.073618;184.073618;2R-aminoheptanoic acid;[M+K];C7H15NO2;1.82280e-4;0.990257;184.073436;2 out of 4
184.073618;184.073618;2S-aminoheptanoic acid;[M+K];C7H15NO2;1.82280e-4;0.990257;184.073436;2 out of 4
184.073618;184.073618;2-amino-heptanoic acid;[M+K];C7H15NO2;1.82280e-4;0.990257;184.073436;2 out of 4
186.076365;186.076365;N-(3-oxo-butanoyl)-homoserine lactone;[M+H];C8H11NO4;2.81168e-4;1.511038;186.076084;1 out of 4
203.052903;203.052903;Fuconic acid;[M+Na];C6H12O6;2.94896e-4;1.452313;203.052608;2 out of 4
204.123322;204.123322;Acetyl-D-carnitine;[M+H];C9H17NO4;2.87976e-4;1.410796;204.123034;3 out of 4
204.123322;204.123322;Acetyl-L-carnitine;[M+H];C9H17NO4;2.87976e-4;1.410796;204.123034;3 out of 4
204.123322;204.123322;DL-Acetylcarnitine;[M+H];C9H17NO4;2.87976e-4;1.410796;204.123034;3 out of 4
205.126667;205.126667;Hexyl 3-mercaptobutanoate;[M+H];C10H20O2S;9.90120e-4;4.826894;205.125677;1 out of 4
218.138903;218.138903;O-propanoyl-carnitine;[M+H];C10H19NO4;2.18912e-4;1.003545;218.138684;1 out of 4
218.138903;218.138903;O-propanoyl-D-carnitine;[M+H];C10H19NO4;2.18912e-4;1.003545;218.138684;1 out of 4
218.138903;218.138903;Propionylcarnitine;[M+H];C10H19NO4;2.18912e-4;1.003545;218.138684;1 out of 4
219.026782;219.026782;Fuconic acid;[M+K];C6H12O6;2.36896e-4;1.081586;219.026545;2 out of 4
226.105184;226.105184;Acetyl-D-carnitine;[M+Na];C9H17NO4;2.05976e-4;0.910975;226.104978;3 out of 4
226.105184;226.105184;Acetyl-L-carnitine;[M+Na];C9H17NO4;2.05976e-4;0.910975;226.104978;3 out of 4
226.105184;226.105184;DL-Acetylcarnitine;[M+Na];C9H17NO4;2.05976e-4;0.910975;226.104978;3 out of 4
232.154502;232.154502;Butyrylcarnitine;[M+H];C11H21NO4;1.67848e-4;0.723002;232.154334;1 out of 4
232.154502;232.154502;O-butanoyl-carnitine;[M+H];C11H21NO4;1.67848e-4;0.723002;232.154334;1 out of 4
232.154502;232.154502;Isobutyryl-L-carnitine;[M+H];C11H21NO4;1.67848e-4;0.723002;232.154334;1 out of 4
242.079023;242.079023;Acetyl-D-carnitine;[M+K];C9H17NO4;1.07976e-4;0.446036;242.078915;3 out of 4
242.079023;242.079023;Acetyl-L-carnitine;[M+K];C9H17NO4;1.07976e-4;0.446036;242.078915;3 out of 4
242.079023;242.079023;DL-Acetylcarnitine;[M+K];C9H17NO4;1.07976e-4;0.446036;242.078915;3 out of 4
248.068054;248.068054;(E)-4-Nitrostilbene;[M+Na];C14H11NO2;-1.44592e-4;-0.582872;248.068199;1 out of 4
248.149400;248.149400;3-hydroxybutyrylcarnitine;[M+H];C11H21NO5;1.51228e-4;0.609424;248.149249;1 out of 4
248.149400;248.149400;Hydroxybutyrylcarnitine;[M+H];C11H21NO5;1.51228e-4;0.609424;248.149249;1 out of 4
250.093585;250.093585;S-Acetyldihydrolipoamide;[M+H];C10H19NO2S2;5.88152e-4;2.351733;250.092997;1 out of 4
250.093585;250.093585;S-Acetyldihydrolipoamide-E;[M+H];C10H19NO2S2;5.88152e-4;2.351733;250.092997;1 out of 4
260.185701;260.185701;O-hexanoyl-R-carnitine;[M+H];C13H25NO4;6.67200e-5;0.256432;260.185634;1 out of 4
260.185701;260.185701;Hexanoylcarnitine;[M+H];C13H25NO4;6.67200e-5;0.256432;260.185634;1 out of 4
263.237010;263.237010;6-[3]-ladderane-1-hexanol;[M+H];C18H30O;6.84200e-5;0.259918;263.236942;1 out of 4
263.237010;263.237010;"9,12,15-octadecatrienal";[M+H];C18H30O;6.84200e-5;0.259918;263.236942;1 out of 4
263.237010;263.237010;"9Z,12Z,15Z-Octadecatrienal";[M+H];C18H30O;6.84200e-5;0.259918;263.236942;1 out of 4
263.237010;263.237010;5-(1-hydroxypropan-2-yl)isolongifol-5-ene;[M+H];C18H30O;6.84200e-5;0.259918;263.236942;1 out of 4
263.237010;263.237010;5-(1-hydroxypropan-2-yl)isolongifol-4-ene;[M+H];C18H30O;6.84200e-5;0.259918;263.236942;1 out of 4
263.237010;263.237010;5-(2-methoxyethyl)isolongifol-5-ene;[M+H];C18H30O;6.84200e-5;0.259918;263.236942;1 out of 4
264.062873;264.062873;trans-2-(4-nitrophenyl)-3-phenyloxirane;[M+Na];C14H11NO3;-2.40212e-4;-0.909676;264.063113;1 out of 4
265.252618;265.252618;"9,12,15-Octadecatrien-1-ol";[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
265.252618;265.252618;"9,12-octadecadienal";[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
265.252618;265.252618;"11E,14E-Octadecadienal";[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
265.252618;265.252618;"2E,13Z-Octadecadienal";[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
265.252618;265.252618;"3E,13Z-Octadecadienal";[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
265.252618;265.252618;"11Z,13Z-Octadecadienal";[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
265.252618;265.252618;"13Z,15Z-Octadecadienal";[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
265.252618;265.252618;"3Z,13Z-Octadecadienal";[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
265.252618;265.252618;"9Z,12Z-Octadecadienal";[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
265.252618;265.252618;"6E,11Z-octadecadienal";[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
265.252618;265.252618;"4-Methyl-7,11-heptadecadienal";[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
265.252618;265.252618;"9S,10R-Epoxy-6Z-octadecene";[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
265.252618;265.252618;"6S,7R-Epoxy-3Z,9Z-octadecadiene";[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
265.252618;265.252618;"3,4-Epoxy-6,9-octadecadiene";[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
265.252618;265.252618;5-(1-hydroxypropan-2-yl)isolongifolane;[M+H];C18H32O;2.63560e-5;0.099362;265.252592;1 out of 4
271.057723;271.057723;"methyl 10-acetoxy-8,9-epoxy-2Z-decen-4,6-diynoate";[M+Na];C13H12O5;2.95160e-5;0.108892;271.057693;1 out of 4
