"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
108.901981;108.901981;Potassium chloride;[M+Cl];ClK;2.04320e-5;0.187618;108.901961;1 out of 5
109.018001;109.018001;4-Oxoproline;[M-H2O-H];C5H6NO3;5.25363e-4;4.819071;109.017476;1 out of 5
110.899036;110.899036;Selenite;[M-H2O-H];H2O3Se;-3.87580e-5;-0.349489;110.899075;1 out of 5
112.985620;112.985620;"Fluoro 2,2-difluoroacetate";[M-H];C2HF3O2;3.32390e-5;0.294188;112.985587;1 out of 5
112.985620;112.985620;Trifluoroacetic acid;[M-H];C2HF3O2;3.31090e-5;0.293037;112.985587;1 out of 5
112.985620;112.985620;Hydroxymethyl hydrogen carbonate;[M+Na-H2];C2H4O4;-5.60900e-6;-0.049643;112.985626;1 out of 5
114.926237;114.926237;"Carbonothioic O,S-acid";[M+K-H2];CH2O2S;8.15220e-5;0.709342;114.926155;1 out of 5
114.926237;114.926237;Chlorosulfonic acid;[M-H];ClHO3S;2.12000e-5;0.184466;114.926216;1 out of 5
114.926237;114.926237;Sulfur trioxide;[M+Cl];O3S;2.09660e-5;0.182430;114.926216;1 out of 5
114.935750;114.935750;"Poly(acrylic acid-co-hypophosphite), sodium salt";[M+K-H2];CH3O2P;7.86650e-5;0.684426;114.935671;1 out of 5
114.935750;114.935750;Metaphosphoric acid;[M+Cl];HO3P;1.85900e-5;0.161743;114.935731;1 out of 5
114.935750;114.935750;Acetyl chloride;[M+K-H2];C2H3ClO;-9.74000e-5;-0.847429;114.935847;1 out of 5
114.935750;114.935750;Chloroacetaldehyde;[M+K-H2];C2H3ClO;-9.74250e-5;-0.847647;114.935847;1 out of 5
114.935750;114.935750;Chlorocarbonic acid;[M+Cl];CHClO2;-1.58000e-4;-1.374679;114.935908;1 out of 5
119.947002;119.947002;Sodium nitrate (NaNO3);[M+Cl];NNaO3;1.34540e-5;0.112166;119.946989;1 out of 5
122.985264;122.985264;phosphonoacetaldehyde;[M-H];C2H5O4P;-4.16000e-6;-0.033825;122.985268;2 out of 5
122.985264;122.985264;"2-Butyne-1,4-diol";[M+K-H2];C4H6O2;-1.20433e-4;-0.979246;122.985384;1 out of 5
122.985264;122.985264;"2,2'-Bioxirane";[M+K-H2];C4H6O2;-1.20433e-4;-0.979246;122.985384;1 out of 5
122.985264;122.985264;Acetoacetaldehyde;[M+K-H2];C4H6O2;-1.20433e-4;-0.979246;122.985384;1 out of 5
122.985264;122.985264;Allyl formate;[M+K-H2];C4H6O2;-1.20433e-4;-0.979246;122.985384;1 out of 5
122.985264;122.985264;Cyclopropanecarboxylic acid;[M+K-H2];C4H6O2;-1.20433e-4;-0.979246;122.985384;1 out of 5
122.985264;122.985264;"Butanal, 2-oxo-";[M+K-H2];C4H6O2;-1.20433e-4;-0.979246;122.985384;1 out of 5
122.985264;122.985264;Methylmalondialdehyde;[M+K-H2];C4H6O2;-1.20433e-4;-0.979246;122.985384;1 out of 5
122.985264;122.985264;Succinaldehyde;[M+K-H2];C4H6O2;-1.20433e-4;-0.979246;122.985384;1 out of 5
122.985264;122.985264;gamma-Butyrolactone;[M+K-H2];C4H6O2;-1.20436e-4;-0.979271;122.985384;1 out of 5
122.985264;122.985264;Oxolan-3-one;[M+K-H2];C4H6O2;-1.20436e-4;-0.979271;122.985384;1 out of 5
122.985264;122.985264;Diacetyl;[M+K-H2];C4H6O2;-1.20436e-4;-0.979271;122.985384;1 out of 5
122.985264;122.985264;But-2-enoic acid;[M+K-H2];C4H6O2;-1.20436e-4;-0.979271;122.985384;1 out of 5
122.985264;122.985264;Ethenyl acetate;[M+K-H2];C4H6O2;-1.20436e-4;-0.979271;122.985384;1 out of 5
